Event,Desc
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_256,Loads with latency value being above 256.
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_32,Loads with latency value being above 32.
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Loads with latency value being above 4.
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_512,Loads with latency value being above 512.
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_64,Loads with latency value being above 64.
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_8,Loads with latency value being above 8.
MEM_UOPS_RETIRED.ALL_LOADS,All retired load uops.
MEM_UOPS_RETIRED.ALL_LOADS_PS,All retired load uops. (precise Event)
MEM_UOPS_RETIRED.ALL_STORES,All retired store uops.
MEM_UOPS_RETIRED.ALL_STORES_PS,This event counts all store uops retired. This is a precise event.
MEM_UOPS_RETIRED.LOCK_LOADS,"Retired load uops with locked access. This metric represents the number of cycles the CPU spent handling cache misses due to lock operations. Due to the microarchitecture handling of locks."
MEM_UOPS_RETIRED.LOCK_LOADS_PS,Retired load uops with locked access. (precise Event)
MEM_UOPS_RETIRED.SPLIT_LOADS,"Retired memory loads that split across a cacheline boundary. Consider aligning data or hot structure fields.
See the Optimization Manual for more details"
MEM_UOPS_RETIRED.SPLIT_LOADS_PS,This event counts load uops retired which had memory addresses spilt across 2 cache lines. A line split is across 64B cache-lines which may include a page split (4K). This is a precise event.
MEM_UOPS_RETIRED.SPLIT_STORES,Retired store uops that split across a cacheline boundary.
MEM_UOPS_RETIRED.SPLIT_STORES_PS,This event counts store uops retired which had memory addresses spilt across 2 cache lines. A line split is across 64B cache-lines which may include a page split (4K). This is a precise event.
MEM_UOPS_RETIRED.STLB_MISS_LOADS,"Retired load uops that miss the second-level TLB. TLBs (Translation Look-
aside Buffers) are processor caches for recently used entries out of the Page Tables that are used to map virtual-
to physical-addresses by the operating system. This metric approximates the potential delay of demand loads missing the
first-level data TLB (assuming worst case scenario with back to back misses to different pages)."
MEM_UOPS_RETIRED.STLB_MISS_LOADS_PS,Retired load uops that miss the Second-level TLB. (precise Event)
MEM_UOPS_RETIRED.STLB_MISS_STORES,Retired store uops that miss the Second-level TLB.
MEM_UOPS_RETIRED.STLB_MISS_STORES_PS,Retired store uops that miss the Second-level TLB. (precise Event)
MISALIGN_MEM_REF.LOADS,Speculative cache-line split load uops dispatched to L1D.
MISALIGN_MEM_REF.STORES,Speculative cache-line split store-address uops dispatched to L1D.
MOVE_ELIMINATION.INT_ELIMINATED,Number of integer move elimination candidate uops that were eliminated.
MOVE_ELIMINATION.INT_NOT_ELIMINATED,Number of integer move elimination candidate uops that were not eliminated.
MOVE_ELIMINATION.SIMD_ELIMINATED,Number of SIMD move elimination candidate uops that were eliminated.
MOVE_ELIMINATION.SIMD_NOT_ELIMINATED,Number of SIMD move elimination candidate uops that were not eliminated.
OFFCORE_REQUESTS.ALL_DATA_RD,Data read requests sent to uncore (demand and prefetch).
OFFCORE_REQUESTS.DEMAND_CODE_RD,Demand code read requests sent to uncore.
OFFCORE_REQUESTS.DEMAND_DATA_RD,Demand data read requests sent to uncore.
OFFCORE_REQUESTS.DEMAND_RFO,"Demand RFO read requests sent to uncore, including regular RFOs, locks, ItoM."
OFFCORE_REQUESTS_BUFFER.SQ_FULL,Offcore requests buffer cannot take more entries for this thread core.
OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD,1 to count cycles.
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,"Cycles when offcore outstanding cacheable Core Data Read transactions are present in SuperQueue (SQ), queue to uncore."
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_DATA_RD,"Cycles when offcore outstanding Demand Data Read transactions are present in SuperQueue (SQ), queue to uncore."
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,"Offcore outstanding demand rfo reads transactions in SuperQueue (SQ), queue to uncore, every cycle."
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_CODE_RD,1 to count cycles.
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD,1 to count cycles.
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD_GE_6,Cycles with at least 6 offcore outstanding Demand Data Read transactions in uncore queue.
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_RFO,1 to count cycles.
OFFCORE_RESPONSE,"Offcore response can be programmed only with a specific pair of event select and counter MSR, and with specific event codes and predefine mask bit value in a dedicated MSR to specify attributes of the offcore transaction."
OTHER_ASSISTS.ANY_WB_ASSIST,Number of microcode assists invoked by HW upon uop writeback.
OTHER_ASSISTS.AVX_TO_SSE,Number of transitions from AVX-256 to legacy SSE when penalty applicable.
OTHER_ASSISTS.SSE_TO_AVX,Number of transitions from SSE to AVX-256 when penalty applicable.
PAGE_WALKER_LOADS.DTLB_L1,Number of DTLB page walker loads that hit in the L1+FB.
PAGE_WALKER_LOADS.DTLB_L2,Number of DTLB page walker loads that hit in the L2.
PAGE_WALKER_LOADS.DTLB_L3,Number of DTLB page walker loads that hit in the L3.
PAGE_WALKER_LOADS.DTLB_MEMORY,Number of DTLB page walker loads from memory.
PAGE_WALKER_LOADS.EPT_DTLB_L1,Counts the number of Extended Page Table walks from the DTLB that hit in the L1 and FB.
PAGE_WALKER_LOADS.EPT_DTLB_L2,Counts the number of Extended Page Table walks from the DTLB that hit in the L2.
PAGE_WALKER_LOADS.EPT_DTLB_L3,Counts the number of Extended Page Table walks from the DTLB that hit in the L3.
PAGE_WALKER_LOADS.EPT_DTLB_MEMORY,Counts the number of Extended Page Table walks from the DTLB that hit in memory.
PAGE_WALKER_LOADS.EPT_ITLB_L1,Counts the number of Extended Page Table walks from the ITLB that hit in the L1 and FB.
PAGE_WALKER_LOADS.EPT_ITLB_L2,Counts the number of Extended Page Table walks from the ITLB that hit in the L2.
PAGE_WALKER_LOADS.EPT_ITLB_L3,Counts the number of Extended Page Table walks from the ITLB that hit in the L2.
PAGE_WALKER_LOADS.EPT_ITLB_MEMORY,Counts the number of Extended Page Table walks from the ITLB that hit in memory.
PAGE_WALKER_LOADS.ITLB_L1,Number of ITLB page walker loads that hit in the L1+FB.
PAGE_WALKER_LOADS.ITLB_L2,Number of ITLB page walker loads that hit in the L2.
PAGE_WALKER_LOADS.ITLB_L3,Number of ITLB page walker loads that hit in the L3.
PAGE_WALKER_LOADS.ITLB_MEMORY,Number of ITLB page walker loads from memory.
RESOURCE_STALLS.ANY,Cycles allocation is stalled due to resource related reason.
RESOURCE_STALLS.ROB,Cycles stalled due to re-order buffer full.
RESOURCE_STALLS.RS,Cycles stalled due to no eligible RS entry available.
RESOURCE_STALLS.SB,"This event counts cycles during which no instructions were allocated because no Store Buffers (SB) were available. This metric estimates fraction of cycles the CPU performance was potentially limited due to Core computation issues (non divider-related).  Two distinct categories can be attributed into this metric: (1) heavy data-dependency among contiguous instructions would manifest in this metric - such cases are often referred to as low Instruction Level Parallelism (ILP). (2) Contention on some hardware execution unit other than Divider. For example; when there are too many multiply operations.. Loop Vectorization -most compilers feature auto-Vectorization options today- reduces pressure on the execution ports as multiple elements are calculated with same uop."
ROB_MISC_EVENTS.LBR_INSERTS,Count cases of saving new LBR records by hardware.
RS_EVENTS.EMPTY_CYCLES,"This event counts cycles when the Reservation Station ( RS ) is empty for the thread. The RS is a structure that buffers allocated micro-ops from the Front-end. If there are many cycles when the RS is empty, it may represent an underflow of instructions delivered from the Front-end."
RS_EVENTS.EMPTY_END,Counts end of periods where the Reservation Station (RS) was empty. Could be useful to precisely locate Frontend Latency Bound issues.
RTM_RETIRED.ABORTED,Number of times an RTM execution aborted due to any reasons (multiple categories may count as one).
RTM_RETIRED.ABORTED_MISC1,Number of times an RTM execution aborted due to various memory events (e.g. read/write capacity and conflicts).
RTM_RETIRED.ABORTED_MISC2,"Number of times an RTM execution aborted due to various memory events (e.g., read/write capacity and conflicts)."
RTM_RETIRED.ABORTED_MISC3,Number of times an RTM execution aborted due to HLE-unfriendly instructions.
RTM_RETIRED.ABORTED_MISC4,Number of times an RTM execution aborted due to incompatible memory type.
RTM_RETIRED.ABORTED_MISC5,Number of times an RTM execution aborted due to none of the previous 4 categories (e.g. interrupt).
RTM_RETIRED.ABORTED_PS,Number of times an RTM execution aborted due to any reasons (multiple categories may count as one).
RTM_RETIRED.COMMIT,Number of times an RTM execution successfully committed.
RTM_RETIRED.START,Number of times an RTM execution started.
SQ_MISC.SPLIT_LOCK,Split locks in SQ
TLB_FLUSH.DTLB_THREAD,DTLB flush attempts of the thread-specific entries.
TLB_FLUSH.STLB_ANY,Count number of STLB flush attempts.
TX_EXEC.MISC1,"Counts the number of times a class of instructions that may cause a transactional abort was executed. Since this is the count of execution, it may not always cause a transactional abort."
TX_EXEC.MISC2,"Counts the number of times a class of instructions (e.g., vzeroupper) that may cause a transactional abort was executed inside a transactional region."
TX_EXEC.MISC3,Counts the number of times an instruction execution caused the transactional nest count supported to be exceeded.
TX_EXEC.MISC4,Counts the number of times a XBEGIN instruction was executed inside an HLE transactional region.
TX_EXEC.MISC5,Counts the number of times an HLE XACQUIRE instruction was executed inside an RTM transactional region.
TX_MEM.ABORT_CAPACITY_WRITE,Number of times a transactional abort was signaled due to a data capacity limitation for transactional writes.
TX_MEM.ABORT_CONFLICT,Number of times a transactional abort was signaled due to a data conflict on a transactionally accessed address.
TX_MEM.ABORT_HLE_ELISION_BUFFER_MISMATCH,Number of times an HLE transactional execution aborted due to XRELEASE lock not satisfying the address and value requirements in the elision buffer.
TX_MEM.ABORT_HLE_ELISION_BUFFER_NOT_EMPTY,Number of times an HLE transactional execution aborted due to NoAllocatedElisionBuffer being non-zero.
TX_MEM.ABORT_HLE_ELISION_BUFFER_UNSUPPORTED_ALIGNMENT,Number of times an HLE transactional execution aborted due to an unsupported read alignment from the elision buffer.
TX_MEM.ABORT_HLE_STORE_TO_ELIDED_LOCK,Number of times a HLE transactional region aborted due to a non XRELEASE prefixed instruction writing to an elided lock in the elision buffer.
TX_MEM.HLE_ELISION_BUFFER_FULL,Number of times HLE lock could not be elided due to ElisionBufferAvailable being zero.
UOPS_DISPATCHED_PORT.PORT_0,Cycles per thread when uops are executed in port 0.
UOPS_DISPATCHED_PORT.PORT_1,Cycles per thread when uops are executed in port 1.
UOPS_DISPATCHED_PORT.PORT_2,Cycles per thread when uops are executed in port 2.
UOPS_DISPATCHED_PORT.PORT_3,Cycles per thread when uops are executed in port 3.
UOPS_DISPATCHED_PORT.PORT_4,Cycles per thread when uops are executed in port 4.
UOPS_DISPATCHED_PORT.PORT_5,Cycles per thread when uops are executed in port 5.
UOPS_DISPATCHED_PORT.PORT_6,Cycles per thread when uops are executed in port 6.
UOPS_DISPATCHED_PORT.PORT_7,Cycles per thread when uops are executed in port 7.
UOPS_EXECUTED.CORE,Counts total number of uops to be executed per-core each cycle.
UOPS_EXECUTED.CORE_CYCLES_GE_1,Cycles at least 1 micro-op is executed from any thread on physical core.
UOPS_EXECUTED.CORE_CYCLES_GE_2,Cycles at least 2 micro-op is executed from any thread on physical core.
UOPS_EXECUTED.CORE_CYCLES_GE_3,Cycles at least 3 micro-op is executed from any thread on physical core.
UOPS_EXECUTED.CORE_CYCLES_GE_4,Cycles at least 4 micro-op is executed from any thread on physical core.
UOPS_EXECUTED.CORE_CYCLES_NONE,Cycles with no micro-ops executed from any thread on physical core.
UOPS_EXECUTED.CYCLES_GE_1_UOP_EXEC,This events counts the cycles where at least one uop was executed. It is counted per thread.
UOPS_EXECUTED.CYCLES_GE_2_UOPS_EXEC,This events counts the cycles where at least two uop were executed. It is counted per thread.
UOPS_EXECUTED.CYCLES_GE_3_UOPS_EXEC,This events counts the cycles where at least three uop were executed. It is counted per thread.
UOPS_EXECUTED.CYCLES_GE_4_UOPS_EXEC,Cycles where at least 4 uops were executed per-thread.
UOPS_EXECUTED.STALL_CYCLES,Counts number of cycles no uops were dispatched to be executed on this thread.
UOPS_EXECUTED_PORT.PORT_0,Cycles which a uop is dispatched on port 0 in this thread.
UOPS_EXECUTED_PORT.PORT_0_CORE,Cycles per core when uops are exectuted in port 0.
UOPS_EXECUTED_PORT.PORT_1,Cycles which a uop is dispatched on port 1 in this thread.
UOPS_EXECUTED_PORT.PORT_1_CORE,Cycles per core when uops are exectuted in port 1.
UOPS_EXECUTED_PORT.PORT_2,Cycles which a uop is dispatched on port 2 in this thread.
UOPS_EXECUTED_PORT.PORT_2_CORE,Cycles per core when uops are dispatched to port 2.
UOPS_EXECUTED_PORT.PORT_3,Cycles which a uop is dispatched on port 3 in this thread.
UOPS_EXECUTED_PORT.PORT_3_CORE,Cycles per core when uops are dispatched to port 3.
UOPS_EXECUTED_PORT.PORT_4,Cycles which a uop is dispatched on port 4 in this thread.
UOPS_EXECUTED_PORT.PORT_4_CORE,Cycles per core when uops are exectuted in port 4.
UOPS_EXECUTED_PORT.PORT_5,Cycles which a uop is dispatched on port 5 in this thread.
UOPS_EXECUTED_PORT.PORT_5_CORE,Cycles per core when uops are exectuted in port 5.
UOPS_EXECUTED_PORT.PORT_6,Cycles which a uop is dispatched on port 6 in this thread.
